archetype_1,archetype_2,mu_win,mu_n,mu_wr
Master Yi/Zilean (IO/SH),Nasus/Xerath (SH),1,1,1
Master Yi/Zilean (IO/SH),Rumble/Sion (BC/NX),1,1,1
Master Yi/Zilean (IO/SH),Karma (FR/IO),1,1,1
Master Yi/Zilean (IO/SH),Taliyah/Zilean (IO/SH),1,1,1
Taliyah/Zilean (IO/SH),Zed (IO/MT),1,1,1
Taliyah/Zilean (IO/SH),Fizz/Yuumi (BC/MT),1,1,1
Taliyah/Zilean (IO/SH),Braum/Galio (DE/FR),1,1,1
Taliyah/Zilean (IO/SH),Katarina/Yasuo (IO/NX),1,1,1
Lee Sin/Viktor (IO/PZ),Ashe/LeBlanc (FR/NX),1,1,1
Lee Sin/Viktor (IO/PZ),Gnar/Gwen (FR/SI),1,1,1
Jax/Tristana (BC/RU),Lee Sin/Viktor (IO/PZ),1,1,1
Morgana/Udyr (DE/FR),Aatrox/Kayn (RU/RU),1,1,1
Elder Dragon/Galio/Morgana (RU/DE),Ryze (IO/RU),1,1,1
Elder Dragon/Galio/Morgana (RU/DE),Gnar/Teemo (BC/PZ),1,1,1
Elder Dragon/Galio/Morgana (RU/DE),Braum/Yuumi/Zoe (FR/MT),1,1,1
Jayce/Lux (DE/PZ),Gnar/Gwen (FR/SI),1,1,1
Kayle/Morgana (DE/MT),Akshan/Lee Sin (IO/SH),1,1,1
Akshan/Lee Sin (IO/SH),Nidalee (BC/SH),1,1,1
Akshan/Lee Sin (IO/SH),Ashe/LeBlanc (FR/NX),1,1,1
Jinx/Kennen (BC/PZ),Garen/Udyr (DE/FR),1,1,1
Norra (BC/PZ),Braum/Yasuo (FR/IO),1,1,1
Norra (BC/PZ),Taric/Varus (MT/RU),1,1,1
Annie/Jhin (RU/NX),Janna/Karma/Seraphine (IO/PZ),1,1,1
Janna/Karma/Seraphine (IO/PZ),Aurelion Sol/Shyvana (DE/MT),1,1,1
Janna/Karma/Seraphine (IO/PZ),Aphelios/Seraphine (MT/PZ),1,1,1
Janna/Karma/Seraphine (IO/PZ),Elder Dragon/Volibear (RU/FR),1,1,1
Evelynn (RU/FR),Norra (BC/PZ),1,1,1
Kayle (BW/MT),Championpile/Elder Dragon (RU/FR),1,1,1
Azir/Xerath (SH),Norra (BC/PZ),1,1,1
Norra (BC/PZ),Miss Fortune/Sejuani (BW/FR),1,1,1
Norra (BC/PZ),Elise (NX/SI),1,1,1
Master Yi/Samira (IO/NX),Viktor/Zoe (MT/PZ),1,1,1
Elder Dragon/Volibear (RU/FR),Master Yi/Samira (IO/NX),1,1,1
Master Yi/Samira (IO/NX),Elder Dragon/Trundle/Volibear (RU/FR),1,1,1
Ashe/LeBlanc (FR/NX),Master Yi/Samira (IO/NX),1,1,1
Draven/Kayle (MT/NX),Mordekaiser/Norra (BC/SI),1,1,1
Master Yi/Samira (IO/NX),Kalista/Nasus (SI/SH),1,1,1
Jayce/Katarina (NX/PZ),Master Yi/Samira (IO/NX),1,1,1
Master Yi/Samira (IO/NX),Braum/Yuumi/Zoe (FR/MT),1,1,1
Elder Dragon/Galio/Morgana (RU/DE),Master Yi/Samira (IO/NX),1,1,1
Master Yi/Samira (IO/NX),Norra (BC/PZ),1,1,1
Master Yi/Samira (IO/NX),Ahri/Akshan (IO/SH),1,1,1
Master Yi/Samira (IO/NX),Championless (NX/PZ),1,1,1
