playerDeck,opponentDeck,muWin,muGames,muWR,okCI,direction,CI,mirror,playrate,opponentPR
Aatrox/Akshan (RU/SH),Aatrox/Vayne (RU/DE),4,10,0.4,FALSE,NEG,(12.2% - 73.8%),No,0.000635740155660014,0.035444921784696
Aatrox/Akshan (RU/SH),Gwen/Katarina (NX/SI),8,18,0.444444444444444,FALSE,NEG,(21.5% - 69.2%),No,0.000635740155660014,0.0490386838252293
Aatrox/Akshan (RU/SH),Jinx/Lulu (BC/PZ),6,12,0.5,FALSE,,(21.1% - 78.9%),No,0.000635740155660014,0.0289743392155352
Aatrox/Akshan (RU/SH),Pyke/Rek'Sai (BW/SH),4,12,0.333333333333333,FALSE,NEG,(9.9% - 65.1%),No,0.000635740155660014,0.0514227094089543
Aatrox/Akshan (RU/SH),SunDisc,9,14,0.642857142857143,FALSE,POS,(35.1% - 87.2%),No,0.000635740155660014,0.0315967673576327
Aatrox/Akshan (RU/SH),Trundle/Tryndamere (FR/SI),3,11,0.272727272727273,FALSE,NEG,(6.0% - 61.0%),No,0.000635740155660014,0.0410654427063266
Aatrox/Kayn (RU/RU),Aatrox/Kayn (RU/RU),119,238,0.5,FALSE,,(43.5% - 56.5%),Yes,0.023262310241196,0.023262310241196
Aatrox/Kayn (RU/RU),Aatrox/Kindred (RU/SI),16,27,0.592592592592593,FALSE,POS,(38.8% - 77.6%),No,0.023262310241196,0.00341469523002235
Aatrox/Kayn (RU/RU),Aatrox/Quinn/Vayne (RU/DE),7,10,0.7,FALSE,POS,(34.8% - 93.3%),No,0.023262310241196,0.000546640209601603
Aatrox/Kayn (RU/RU),Aatrox/Varus (RU/RU),10,15,0.666666666666667,FALSE,POS,(38.4% - 88.2%),No,0.023262310241196,0.00120164521846344
Aatrox/Kayn (RU/RU),Aatrox/Vayne (RU/DE),187,370,0.505405405405405,FALSE,POS,(45.3% - 55.7%),No,0.023262310241196,0.035444921784696
Aatrox/Kayn (RU/RU),Akshan/Braum (FR/SH),4,12,0.333333333333333,FALSE,NEG,(9.9% - 65.1%),No,0.023262310241196,0.00139670185713185
Aatrox/Kayn (RU/RU),Akshan/Varus (SH/RU),25,56,0.446428571428571,FALSE,NEG,(31.3% - 58.5%),No,0.023262310241196,0.00816829775757109
Aatrox/Kayn (RU/RU),Anivia (FR/SI),17,35,0.485714285714286,FALSE,NEG,(31.4% - 66.0%),No,0.023262310241196,0.00371570856130076
Aatrox/Kayn (RU/RU),Annie/Jhin (RU/NX),55,147,0.374149659863946,TRUE,NEG,(29.6% - 45.8%),No,0.023262310241196,0.016483490020806
Aatrox/Kayn (RU/RU),Annie/Twisted Fate (BW/NX),24,40,0.6,FALSE,POS,(43.3% - 75.1%),No,0.023262310241196,0.00380480850735917
Aatrox/Kayn (RU/RU),Aphelios/Seraphine (MT/PZ),19,31,0.612903225806452,FALSE,POS,(42.2% - 78.2%),No,0.023262310241196,0.00307515219234029
Aatrox/Kayn (RU/RU),Ashe/Kindred (FR/SI),6,20,0.3,FALSE,NEG,(11.9% - 54.3%),No,0.023262310241196,0.00226121214456346
Aatrox/Kayn (RU/RU),Ashe/LeBlanc (FR/NX),8,30,0.266666666666667,TRUE,NEG,(12.3% - 45.9%),No,0.023262310241196,0.00234067966402096
Aatrox/Kayn (RU/RU),Aurelion Sol/Leona (DE/MT),4,13,0.307692307692308,FALSE,NEG,(9.1% - 61.4%),No,0.023262310241196,0.0017097557216614
Aatrox/Kayn (RU/RU),Aurelion Sol/Trundle (FR/MT),7,17,0.411764705882353,FALSE,NEG,(18.4% - 67.1%),No,0.023262310241196,0.00158694228249981
Aatrox/Kayn (RU/RU),Aurelion Sol/Tryndamere (FR/MT),3,12,0.25,FALSE,NEG,(5.5% - 57.2%),No,0.023262310241196,0.00113181012560684
Aatrox/Kayn (RU/RU),Aurelion Sol/Zoe (FR/MT),19,41,0.463414634146342,FALSE,NEG,(30.7% - 62.6%),No,0.023262310241196,0.00315221160514757
Aatrox/Kayn (RU/RU),Azir (MT/SH),20,44,0.454545454545455,FALSE,NEG,(30.4% - 61.2%),No,0.023262310241196,0.00360011944208985
Aatrox/Kayn (RU/RU),Azir/Irelia (IO/SH),35,70,0.5,FALSE,,(37.8% - 62.2%),No,0.023262310241196,0.00673547430068583
Aatrox/Kayn (RU/RU),Azir/Kayle (MT/SH),8,12,0.666666666666667,FALSE,POS,(34.9% - 90.1%),No,0.023262310241196,0.000736880634969562
Aatrox/Kayn (RU/RU),BandleTree,8,12,0.666666666666667,FALSE,POS,(34.9% - 90.1%),No,0.023262310241196,0.00220582569160823
Aatrox/Kayn (RU/RU),Bard/Kayle (RU/MT),48,91,0.527472527472528,FALSE,POS,(42.0% - 63.3%),No,0.023262310241196,0.00916043769746475
Aatrox/Kayn (RU/RU),Bard/Norra (BC/RU),54,76,0.710526315789474,TRUE,POS,(59.5% - 80.9%),No,0.023262310241196,0.00740492794944903
Aatrox/Kayn (RU/RU),Bard/Sejuani (RU/FR),8,15,0.533333333333333,FALSE,POS,(26.6% - 78.7%),No,0.023262310241196,0.00119442089851275
Aatrox/Kayn (RU/RU),Braum (FR/IO),7,13,0.538461538461538,FALSE,POS,(25.1% - 80.8%),No,0.023262310241196,0.000780226554673653
Aatrox/Kayn (RU/RU),Braum/Kayle (FR/MT),26,44,0.590909090909091,FALSE,POS,(43.2% - 73.7%),No,0.023262310241196,0.0041684326115435
Aatrox/Kayn (RU/RU),Braum/Vladimir (FR/NX),18,37,0.486486486486487,FALSE,NEG,(31.9% - 65.6%),No,0.023262310241196,0.00425271634430146
Aatrox/Kayn (RU/RU),Braum/Yuumi (FR/MT),8,12,0.666666666666667,FALSE,POS,(34.9% - 90.1%),No,0.023262310241196,0.00203725822609232
Aatrox/Kayn (RU/RU),Caitlyn/Teemo (BC/PZ),49,82,0.597560975609756,FALSE,POS,(48.3% - 70.4%),No,0.023262310241196,0.00686792016644833
Aatrox/Kayn (RU/RU),Darius (FR/NX),66,159,0.415094339622642,TRUE,NEG,(33.8% - 49.6%),No,0.023262310241196,0.0146677776065346
Aatrox/Kayn (RU/RU),Diana/Leona (MT/SI),15,31,0.483870967741936,FALSE,NEG,(30.2% - 66.9%),No,0.023262310241196,0.00367236264159667
Aatrox/Kayn (RU/RU),Diana/Nocturne (MT/SI),12,16,0.75,FALSE,POS,(47.6% - 92.7%),No,0.023262310241196,0.00169530708176004
Aatrox/Kayn (RU/RU),Dragons (DE/MT),11,24,0.458333333333333,FALSE,NEG,(25.6% - 67.2%),No,0.023262310241196,0.0026176119287971
Aatrox/Kayn (RU/RU),Draven/Jinx (NX/PZ),69,155,0.445161290322581,FALSE,NEG,(36.5% - 52.7%),No,0.023262310241196,0.0169988248439547
Aatrox/Kayn (RU/RU),Ekko/Jinx (PZ/SH),28,46,0.608695652173913,FALSE,POS,(45.4% - 74.9%),No,0.023262310241196,0.00536044540340603
Aatrox/Kayn (RU/RU),Ekko/Vi (PZ/SH),7,10,0.7,FALSE,POS,(34.8% - 93.3%),No,0.023262310241196,0.000804307621175927
Aatrox/Kayn (RU/RU),Ekko/Zilean (PZ/SH),16,22,0.727272727272727,FALSE,POS,(49.8% - 89.3%),No,0.023262310241196,0.0016302882022039
Aatrox/Kayn (RU/RU),Elise (NX/SI),5,10,0.5,FALSE,,(18.7% - 81.3%),No,0.023262310241196,0.00144004777683594
Aatrox/Kayn (RU/RU),Elise/Gwen (NX/SI),32,81,0.395061728395062,FALSE,NEG,(28.8% - 51.0%),No,0.023262310241196,0.00732786853664175
Aatrox/Kayn (RU/RU),Elise/Norra (BC/SI),9,16,0.5625,FALSE,POS,(29.9% - 80.2%),No,0.023262310241196,0.00182534484087231
Aatrox/Kayn (RU/RU),Elise/Trundle (FR/SI),11,21,0.523809523809524,FALSE,POS,(29.8% - 74.3%),No,0.023262310241196,0.00268503891500347
Aatrox/Kayn (RU/RU),Evelynn/Kai'Sa (RU/SH),11,24,0.458333333333333,FALSE,NEG,(25.6% - 67.2%),No,0.023262310241196,0.00228047699776528
Aatrox/Kayn (RU/RU),Evelynn/Viego (RU/SI),8,17,0.470588235294118,FALSE,NEG,(23.0% - 72.2%),No,0.023262310241196,0.00172661246821299
Aatrox/Kayn (RU/RU),Ezreal/Kennen (IO/PZ),8,12,0.666666666666667,FALSE,POS,(34.9% - 90.1%),No,0.023262310241196,0.00119682900516298
Aatrox/Kayn (RU/RU),Ezreal/Seraphine (BC/PZ),113,177,0.638418079096045,TRUE,POS,(56.3% - 70.9%),No,0.023262310241196,0.0177814595052786
Aatrox/Kayn (RU/RU),Ezreal/Seraphine (NX/PZ),4,12,0.333333333333333,FALSE,NEG,(9.9% - 65.1%),No,0.023262310241196,0.00170253140171072
Aatrox/Kayn (RU/RU),Fiora (DE/FR),2,13,0.153846153846154,TRUE,NEG,(1.9% - 45.4%),No,0.023262310241196,0.00135094783077753
Aatrox/Kayn (RU/RU),Fiora (DE/PZ),4,10,0.4,FALSE,NEG,(12.2% - 73.8%),No,0.023262310241196,0.000508110503197966
Aatrox/Kayn (RU/RU),Fiora/Shen (DE/IO),6,15,0.4,FALSE,NEG,(16.3% - 67.7%),No,0.023262310241196,0.00246108499653233
Aatrox/Kayn (RU/RU),Fizz/Gwen (BW/SI),23,48,0.479166666666667,FALSE,NEG,(33.3% - 62.8%),No,0.023262310241196,0.00599136934576559
Aatrox/Kayn (RU/RU),Fizz/Yuumi (BC/FR),20,38,0.526315789473684,FALSE,POS,(35.8% - 69.0%),No,0.023262310241196,0.00373015720120213
Aatrox/Kayn (RU/RU),Galio/Soraka (DE/MT),8,18,0.444444444444444,FALSE,NEG,(21.5% - 69.2%),No,0.023262310241196,0.00132686676427526
Aatrox/Kayn (RU/RU),Gangplank/Sejuani (BW/FR),50,102,0.490196078431373,FALSE,NEG,(39.0% - 59.1%),No,0.023262310241196,0.0113084688294675
Aatrox/Kayn (RU/RU),Garen/Jarvan IV (DE),35,92,0.380434782608696,TRUE,NEG,(28.1% - 48.8%),No,0.023262310241196,0.00990695075903522
Aatrox/Kayn (RU/RU),Gnar (BC/PZ),7,13,0.538461538461538,FALSE,POS,(25.1% - 80.8%),No,0.023262310241196,0.00109568852585343
Aatrox/Kayn (RU/RU),Gnar/Sejuani (BC/FR),7,14,0.5,FALSE,,(23.0% - 77.0%),No,0.023262310241196,0.00138947753718117
Aatrox/Kayn (RU/RU),Gwen/Hecarim (IO/SI),7,16,0.4375,FALSE,NEG,(19.8% - 70.1%),No,0.023262310241196,0.00139429375048162
Aatrox/Kayn (RU/RU),Gwen/Irelia (IO/SI),92,160,0.575,FALSE,POS,(49.4% - 65.3%),No,0.023262310241196,0.0156069392001233
Aatrox/Kayn (RU/RU),Gwen/Katarina (NX/SI),240,455,0.527472527472528,FALSE,POS,(48.0% - 57.4%),No,0.023262310241196,0.0490386838252293
Aatrox/Kayn (RU/RU),Gwen/Kayle (MT/SI),9,16,0.5625,FALSE,POS,(29.9% - 80.2%),No,0.023262310241196,0.00135094783077753
Aatrox/Kayn (RU/RU),Gwen/Sejuani (FR/SI),22,44,0.5,FALSE,,(34.6% - 65.4%),No,0.023262310241196,0.00379999229405872
Aatrox/Kayn (RU/RU),Gwen/Vayne (DE/SI),5,18,0.277777777777778,FALSE,NEG,(9.7% - 53.5%),No,0.023262310241196,0.00173865300146413
Aatrox/Kayn (RU/RU),Gwen/Zed (IO/SI),24,37,0.648648648648649,FALSE,POS,(47.5% - 79.8%),No,0.023262310241196,0.00397096786622486
Aatrox/Kayn (RU/RU),Hecarim (IO/SI),4,11,0.363636363636364,FALSE,NEG,(10.9% - 69.2%),No,0.023262310241196,0.000825980581027973
Aatrox/Kayn (RU/RU),Hecarim/Zed (IO/SI),173,370,0.467567567567568,FALSE,NEG,(41.6% - 52.0%),No,0.023262310241196,0.0368897857748324
Aatrox/Kayn (RU/RU),Heimerdinger/Jayce (PZ/SI),17,38,0.447368421052632,FALSE,NEG,(28.6% - 61.7%),No,0.023262310241196,0.00477527548740079
Aatrox/Kayn (RU/RU),Heimerdinger/Norra (BC/FR),6,12,0.5,FALSE,,(21.1% - 78.9%),No,0.023262310241196,0.000876550820682746
Aatrox/Kayn (RU/RU),Heimerdinger/Norra (BC/SI),21,35,0.6,FALSE,POS,(42.1% - 76.1%),No,0.023262310241196,0.00408174077213532
Aatrox/Kayn (RU/RU),Illaoi/Vayne (BW/DE),6,13,0.461538461538462,FALSE,NEG,(19.2% - 74.9%),No,0.023262310241196,0.00129315327117207
Aatrox/Kayn (RU/RU),Irelia/Miss Fortune (BW/IO),8,11,0.727272727272727,FALSE,POS,(39.0% - 94.0%),No,0.023262310241196,0.000939161593588657
Aatrox/Kayn (RU/RU),Jarvan IV/Shen (DE/IO),5,11,0.454545454545455,FALSE,NEG,(16.7% - 76.6%),No,0.023262310241196,0.0011896046852123
Aatrox/Kayn (RU/RU),Jax/Ornn (FR/RU),6,15,0.4,FALSE,NEG,(16.3% - 67.7%),No,0.023262310241196,0.00135094783077753
Aatrox/Kayn (RU/RU),Jayce/Lux (DE/PZ),26,51,0.509803921568627,FALSE,POS,(36.6% - 65.2%),No,0.023262310241196,0.00509314556523079
Aatrox/Kayn (RU/RU),Jinx (DE/PZ),7,13,0.538461538461538,FALSE,POS,(25.1% - 80.8%),No,0.023262310241196,0.000994548046543885
Aatrox/Kayn (RU/RU),Jinx/Lulu (BC/PZ),156,280,0.557142857142857,FALSE,POS,(49.7% - 61.6%),No,0.023262310241196,0.0289743392155352
Aatrox/Kayn (RU/RU),Kai'Sa (DE/SH),9,19,0.473684210526316,FALSE,NEG,(24.4% - 71.1%),No,0.023262310241196,0.00216970409185482
Aatrox/Kayn (RU/RU),Karma/Viktor (IO/PZ),9,12,0.75,FALSE,POS,(42.8% - 94.5%),No,0.023262310241196,0.00101622100639593
Aatrox/Kayn (RU/RU),Katarina/Leona (MT/NX),10,21,0.476190476190476,FALSE,NEG,(25.7% - 70.2%),No,0.023262310241196,0.00282952531401711
Aatrox/Kayn (RU/RU),Katarina/Yasuo (IO/NX),52,150,0.346666666666667,TRUE,NEG,(27.1% - 42.9%),No,0.023262310241196,0.0130687947907837
Aatrox/Kayn (RU/RU),Kayle/Leona (DE/MT),7,13,0.538461538461538,FALSE,POS,(25.1% - 80.8%),No,0.023262310241196,0.00187350697387686
Aatrox/Kayn (RU/RU),Kayle/Zoe (FR/MT),6,13,0.461538461538462,FALSE,NEG,(19.2% - 74.9%),No,0.023262310241196,0.00131482623102412
Aatrox/Kayn (RU/RU),Kindred/Nasus (SI/SH),36,71,0.507042253521127,FALSE,POS,(38.6% - 62.8%),No,0.023262310241196,0.00694979579255606
Aatrox/Kayn (RU/RU),Kindred/Viego (BW/SI),16,31,0.516129032258065,FALSE,POS,(33.1% - 69.8%),No,0.023262310241196,0.00359048701548894
Aatrox/Kayn (RU/RU),Kindred/Viego (FR/SI),5,12,0.416666666666667,FALSE,NEG,(15.2% - 72.3%),No,0.023262310241196,0.00104271017954843
Aatrox/Kayn (RU/RU),Kindred/Viego (IO/SI),19,35,0.542857142857143,FALSE,POS,(36.6% - 71.2%),No,0.023262310241196,0.00424549202435077
Aatrox/Kayn (RU/RU),Kindred/Viego (SI/SH),6,11,0.545454545454545,FALSE,POS,(23.4% - 83.3%),No,0.023262310241196,0.000895815673884565
Aatrox/Kayn (RU/RU),LeBlanc/Sivir (NX/SH),6,12,0.5,FALSE,,(21.1% - 78.9%),No,0.023262310241196,0.00105956692610002
Aatrox/Kayn (RU/RU),Leona/Yasuo (IO/MT),6,12,0.5,FALSE,,(21.1% - 78.9%),No,0.023262310241196,0.00185183401402481
Aatrox/Kayn (RU/RU),Lissandra/Trundle (FR/IO),21,37,0.567567567567568,FALSE,POS,(39.5% - 72.9%),No,0.023262310241196,0.00421900285119827
Aatrox/Kayn (RU/RU),Malphite/Taliyah (MT/SH),9,20,0.45,FALSE,NEG,(23.1% - 68.5%),No,0.023262310241196,0.00140874239038299
Aatrox/Kayn (RU/RU),Maokai/Nautilus (BW/SI),45,86,0.523255813953488,FALSE,POS,(41.3% - 63.2%),No,0.023262310241196,0.00896778916544656
Aatrox/Kayn (RU/RU),Master Yi/Ryze (IO/RU),28,60,0.466666666666667,FALSE,NEG,(33.7% - 60.0%),No,0.023262310241196,0.00617438545118286
Aatrox/Kayn (RU/RU),Miss Fortune/Swain (BW/NX),9,12,0.75,FALSE,POS,(42.8% - 94.5%),No,0.023262310241196,0.00127388841797026
Aatrox/Kayn (RU/RU),Mistwraith Allegiance,15,27,0.555555555555556,FALSE,POS,(35.3% - 74.5%),No,0.023262310241196,0.00373978962780304
Aatrox/Kayn (RU/RU),Nautilus (BW/SI),3,14,0.214285714285714,FALSE,NEG,(4.7% - 50.8%),No,0.023262310241196,0.000821164367727518
Aatrox/Kayn (RU/RU),Norra/Swain (BC/NX),21,36,0.583333333333333,FALSE,POS,(40.8% - 74.5%),No,0.023262310241196,0.00371811666795099
Aatrox/Kayn (RU/RU),Norra/Veigar (BC/SI),30,55,0.545454545454545,FALSE,POS,(40.6% - 68.0%),No,0.023262310241196,0.00573851814749172
Aatrox/Kayn (RU/RU),Pack Your Catalogue (NX/SI),8,14,0.571428571428571,FALSE,POS,(28.9% - 82.3%),No,0.023262310241196,0.00196260691993527
Aatrox/Kayn (RU/RU),Pantheon/Varus (MT/RU),6,19,0.315789473684211,FALSE,NEG,(12.6% - 56.6%),No,0.023262310241196,0.00241773907682823
Aatrox/Kayn (RU/RU),Pirates (BW/NX),84,149,0.563758389261745,FALSE,POS,(48.0% - 64.5%),No,0.023262310241196,0.0148387531787008
Aatrox/Kayn (RU/RU),Pyke/Rek'Sai (BW/SH),209,509,0.410609037328094,TRUE,NEG,(36.8% - 45.5%),No,0.023262310241196,0.0514227094089543
Aatrox/Kayn (RU/RU),Riven/Viktor (NX/PZ),8,13,0.615384615384615,FALSE,POS,(31.6% - 86.1%),No,0.023262310241196,0.00100177236649457
Aatrox/Kayn (RU/RU),Rumble/Sion (BC/NX),3,11,0.272727272727273,FALSE,NEG,(6.0% - 61.0%),No,0.023262310241196,0.00117033983201048
Aatrox/Kayn (RU/RU),Rumble/Vayne (DE/NX),66,167,0.395209580838323,TRUE,NEG,(32.1% - 47.4%),No,0.023262310241196,0.0156310202666256
Aatrox/Kayn (RU/RU),Ryze (IO/RU),12,27,0.444444444444444,FALSE,NEG,(25.5% - 64.7%),No,0.023262310241196,0.00250202280958619
Aatrox/Kayn (RU/RU),Ryze (RU/SH),11,14,0.785714285714286,FALSE,POS,(49.2% - 95.3%),No,0.023262310241196,0.000809123834476381
Aatrox/Kayn (RU/RU),Ryze (RU/SI),42,65,0.646153846153846,TRUE,POS,(51.8% - 76.1%),No,0.023262310241196,0.00627793403714264
Aatrox/Kayn (RU/RU),Ryze/Viktor (PZ/RU),9,11,0.818181818181818,FALSE,POS,(48.2% - 97.7%),No,0.023262310241196,0.000616475302458195
Aatrox/Kayn (RU/RU),Senna/Veigar (BC/SI),36,64,0.5625,FALSE,POS,(43.3% - 68.6%),No,0.023262310241196,0.00650188795561378
Aatrox/Kayn (RU/RU),Seraphine/Viktor (IO/PZ),8,13,0.615384615384615,FALSE,POS,(31.6% - 86.1%),No,0.023262310241196,0.000994548046543885
Aatrox/Kayn (RU/RU),Seraphine/Viktor (PZ/RU),15,33,0.454545454545455,FALSE,NEG,(28.1% - 63.6%),No,0.023262310241196,0.00384333821376281
Aatrox/Kayn (RU/RU),Seraphine/Viktor (PZ/SI),4,12,0.333333333333333,FALSE,NEG,(9.9% - 65.1%),No,0.023262310241196,0.00155563689604685
Aatrox/Kayn (RU/RU),Soraka/Tahm Kench (BW/MT),19,30,0.633333333333333,FALSE,POS,(43.9% - 80.1%),No,0.023262310241196,0.00396374354627418
Aatrox/Kayn (RU/RU),SunDisc,139,308,0.451298701298701,FALSE,NEG,(39.5% - 50.9%),No,0.023262310241196,0.0315967673576327
Aatrox/Kayn (RU/RU),Swain/Twisted Fate (BW/NX),35,76,0.460526315789474,FALSE,NEG,(34.5% - 57.9%),No,0.023262310241196,0.00713762811127379
Aatrox/Kayn (RU/RU),Taliyah/Ziggs (BC/SH),19,34,0.558823529411765,FALSE,POS,(37.9% - 72.8%),No,0.023262310241196,0.00352787624258303
Aatrox/Kayn (RU/RU),Taliyah/Ziggs (IO/SH),16,22,0.727272727272727,FALSE,POS,(49.8% - 89.3%),No,0.023262310241196,0.00187832318717731
Aatrox/Kayn (RU/RU),Teemo (BC/PZ),7,10,0.7,FALSE,POS,(34.8% - 93.3%),No,0.023262310241196,0.00103789396624798
Aatrox/Kayn (RU/RU),Teemo/Zoe (BC/MT),40,64,0.625,FALSE,POS,(49.5% - 74.3%),No,0.023262310241196,0.00508832935193034
Aatrox/Kayn (RU/RU),Tri-Beam (NX/PZ),9,12,0.75,FALSE,POS,(42.8% - 94.5%),No,0.023262310241196,0.00106919935270093
Aatrox/Kayn (RU/RU),Trundle Timelines (FR/PZ),49,126,0.388888888888889,TRUE,NEG,(30.3% - 48.0%),No,0.023262310241196,0.0134805810279726
Aatrox/Kayn (RU/RU),Trundle/Tryndamere (FR/SI),118,396,0.297979797979798,TRUE,NEG,(25.3% - 34.6%),No,0.023262310241196,0.0410654427063266
Aatrox/Kayn (RU/RU),Udyr/Viktor (FR/PZ),11,17,0.647058823529412,FALSE,POS,(38.3% - 85.8%),No,0.023262310241196,0.00211672574554982
Aatrox/Kayn (RU/RU),Zed (IO/SI),17,30,0.566666666666667,FALSE,POS,(37.4% - 74.5%),No,0.023262310241196,0.00334486013716576
Aatrox/Kayn (RU/RU),Ziggs (BC/SH),12,22,0.545454545454545,FALSE,POS,(32.2% - 75.6%),No,0.023262310241196,0.00281507667411574
Aatrox/Kayn (RU/RU),Zoe (BW/MT),26,43,0.604651162790698,FALSE,POS,(44.4% - 75.0%),No,0.023262310241196,0.00373497341450258
Aatrox/Kindred (RU/SI),Aatrox/Kayn (RU/RU),11,27,0.407407407407407,FALSE,NEG,(22.4% - 61.2%),No,0.00341469523002235,0.023262310241196
Aatrox/Kindred (RU/SI),Aatrox/Vayne (RU/DE),19,37,0.513513513513514,FALSE,POS,(34.4% - 68.1%),No,0.00341469523002235,0.035444921784696
Aatrox/Kindred (RU/SI),Annie/Jhin (RU/NX),8,20,0.4,FALSE,NEG,(19.1% - 63.9%),No,0.00341469523002235,0.016483490020806
Aatrox/Kindred (RU/SI),Azir/Irelia (IO/SH),2,11,0.181818181818182,FALSE,NEG,(2.3% - 51.8%),No,0.00341469523002235,0.00673547430068583
Aatrox/Kindred (RU/SI),Bard/Kayle (RU/MT),12,15,0.8,TRUE,POS,(51.9% - 95.7%),No,0.00341469523002235,0.00916043769746475
Aatrox/Kindred (RU/SI),Caitlyn/Teemo (BC/PZ),7,12,0.583333333333333,FALSE,POS,(27.7% - 84.8%),No,0.00341469523002235,0.00686792016644833
Aatrox/Kindred (RU/SI),Darius (FR/NX),8,19,0.421052631578947,FALSE,NEG,(20.3% - 66.5%),No,0.00341469523002235,0.0146677776065346
Aatrox/Kindred (RU/SI),Draven/Jinx (NX/PZ),9,19,0.473684210526316,FALSE,NEG,(24.4% - 71.1%),No,0.00341469523002235,0.0169988248439547
Aatrox/Kindred (RU/SI),Elise/Gwen (NX/SI),6,12,0.5,FALSE,,(21.1% - 78.9%),No,0.00341469523002235,0.00732786853664175
Aatrox/Kindred (RU/SI),Ezreal/Seraphine (BC/PZ),10,18,0.555555555555556,FALSE,POS,(30.8% - 78.5%),No,0.00341469523002235,0.0177814595052786
Aatrox/Kindred (RU/SI),Fizz/Gwen (BW/SI),4,10,0.4,FALSE,NEG,(12.2% - 73.8%),No,0.00341469523002235,0.00599136934576559
Aatrox/Kindred (RU/SI),Gangplank/Sejuani (BW/FR),7,10,0.7,FALSE,POS,(34.8% - 93.3%),No,0.00341469523002235,0.0113084688294675
Aatrox/Kindred (RU/SI),Garen/Jarvan IV (DE),10,19,0.526315789473684,FALSE,POS,(28.9% - 75.6%),No,0.00341469523002235,0.00990695075903522
Aatrox/Kindred (RU/SI),Gwen/Irelia (IO/SI),11,25,0.44,FALSE,NEG,(24.4% - 65.1%),No,0.00341469523002235,0.0156069392001233
Aatrox/Kindred (RU/SI),Gwen/Katarina (NX/SI),38,80,0.475,FALSE,NEG,(36.2% - 59.0%),No,0.00341469523002235,0.0490386838252293
Aatrox/Kindred (RU/SI),Gwen/Zed (IO/SI),2,10,0.2,FALSE,NEG,(2.5% - 55.6%),No,0.00341469523002235,0.00397096786622486
Aatrox/Kindred (RU/SI),Hecarim/Zed (IO/SI),33,65,0.507692307692308,FALSE,POS,(38.1% - 63.4%),No,0.00341469523002235,0.0368897857748324
Aatrox/Kindred (RU/SI),Jinx/Lulu (BC/PZ),23,54,0.425925925925926,FALSE,NEG,(29.2% - 56.8%),No,0.00341469523002235,0.0289743392155352
Aatrox/Kindred (RU/SI),Katarina/Yasuo (IO/NX),10,24,0.416666666666667,FALSE,NEG,(22.1% - 63.4%),No,0.00341469523002235,0.0130687947907837
Aatrox/Kindred (RU/SI),Kindred/Nasus (SI/SH),3,10,0.3,FALSE,NEG,(6.7% - 65.2%),No,0.00341469523002235,0.00694979579255606
Aatrox/Kindred (RU/SI),Maokai/Nautilus (BW/SI),8,14,0.571428571428571,FALSE,POS,(28.9% - 82.3%),No,0.00341469523002235,0.00896778916544656
Aatrox/Kindred (RU/SI),Pirates (BW/NX),10,19,0.526315789473684,FALSE,POS,(28.9% - 75.6%),No,0.00341469523002235,0.0148387531787008
Aatrox/Kindred (RU/SI),Pyke/Rek'Sai (BW/SH),21,66,0.318181818181818,TRUE,NEG,(20.9% - 44.4%),No,0.00341469523002235,0.0514227094089543
Aatrox/Kindred (RU/SI),Rumble/Vayne (DE/NX),8,20,0.4,FALSE,NEG,(19.1% - 63.9%),No,0.00341469523002235,0.0156310202666256
Aatrox/Kindred (RU/SI),Senna/Veigar (BC/SI),5,11,0.454545454545455,FALSE,NEG,(16.7% - 76.6%),No,0.00341469523002235,0.00650188795561378
Aatrox/Kindred (RU/SI),SunDisc,14,31,0.451612903225806,FALSE,NEG,(27.3% - 64.0%),No,0.00341469523002235,0.0315967673576327
Aatrox/Kindred (RU/SI),Swain/Twisted Fate (BW/NX),4,17,0.235294117647059,TRUE,NEG,(6.8% - 49.9%),No,0.00341469523002235,0.00713762811127379
Aatrox/Kindred (RU/SI),Trundle Timelines (FR/PZ),12,21,0.571428571428571,FALSE,POS,(34.0% - 78.2%),No,0.00341469523002235,0.0134805810279726
Aatrox/Kindred (RU/SI),Trundle/Tryndamere (FR/SI),26,63,0.412698412698413,FALSE,NEG,(29.0% - 54.4%),No,0.00341469523002235,0.0410654427063266
Aatrox/Ornn (RU/FR),Gwen/Katarina (NX/SI),2,10,0.2,FALSE,NEG,(2.5% - 55.6%),No,0.000339543037682053,0.0490386838252293
Aatrox/Quinn/Vayne (RU/DE),Aatrox/Kayn (RU/RU),3,10,0.3,FALSE,NEG,(6.7% - 65.2%),No,0.000546640209601603,0.023262310241196
Aatrox/Quinn/Vayne (RU/DE),Aatrox/Vayne (RU/DE),5,11,0.454545454545455,FALSE,NEG,(16.7% - 76.6%),No,0.000546640209601603,0.035444921784696
Aatrox/Quinn/Vayne (RU/DE),Gwen/Katarina (NX/SI),4,16,0.25,FALSE,NEG,(7.3% - 52.4%),No,0.000546640209601603,0.0490386838252293
Aatrox/Quinn/Vayne (RU/DE),Pyke/Rek'Sai (BW/SH),7,13,0.538461538461538,FALSE,POS,(25.1% - 80.8%),No,0.000546640209601603,0.0514227094089543
Aatrox/Quinn/Vayne (RU/DE),Trundle/Tryndamere (FR/SI),4,11,0.363636363636364,FALSE,NEG,(10.9% - 69.2%),No,0.000546640209601603,0.0410654427063266
